Question,Agent Bucket,Tool Bucket,Advisory Bucket,Response Quality,,Second Pass,CoPilot Screen,Gitanjali,Oscar
Inquiry about the expected data path from on-premises to the destination in Azure.,NotApplicable,,,,,,,,
Request for the destination resource ID in Azure.,NotApplicable,,,,,,,,
Request for relevant logs where the described network behavior can be observed.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Clarification on traffic flow related to specific virtual machines.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Investigation into why the DDoS protection plan appears to auto-enable after being disabled by the customer.,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,,,,,,
Questions about the cause of changes around a specific timestamp that resulted in the effective disabling of DDoS protection on the virtual network.,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,,,,,,
Discussion on adjusting DDoS thresholds for public IP addresses.,Agent:DDoSAdvisory,,Thresholds,,,,,,
Request for confirmation on whether the customer has engaged third-party support teams for further troubleshooting of network virtual appliance issues.,NotApplicable,,,,,,,,
The customer inquired about the DDoS protection test and whether the protection plan was active during their test.,Agent:DDoSAdvisory,Tool:ResourceState,AttackSimulation,,,,,,
The customer asked about the Application Web Application Firewall (WAF) SKU and another WAF SKU related to multiple site hosting.,NotApplicable,,,,,,,,
The customer questioned how to configure the on-premises firewall to whitelist the public IP of the Application WAF.,NotApplicable,,,,,,,,
"The customer asked if the on-premises firewall can allow Fully Qualified Domain Names (FQDN), and if so, they were advised to check with the firewall vendor.",NotApplicable,,,,,,,,
The customer sought clarification on which metrics should be investigated during a DDoS attack.,Agent:DDoSAdvisory,,Metrics,,,,,,
Is there an application associated with this public IP or subscription?,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,,,,,,
"Clarification regarding the customer's concern about ARP spoofing attacks in a virtual network environment, specifically questioning the applicability of ARP-based communication given the absence of Layer 2 in virtual networks.",NotApplicable,,,,,,,,
Does the customer have concerns about separating requests that may be out of scope?,NotApplicable,,,,,,,,
"Is the issue related to product limitations, bugs, or documentation?",NotApplicable,,,,,,,,
Are there any delays or issues caused by collaboration or handover between teams?,NotApplicable,,,,,,,,
Is a third party involved in the issue?,NotApplicable,,,,,,,,
Has the customer resolved the problem independently?,NotApplicable,,,,,,,,
Did the customer implement the proposed solution?,NotApplicable,,,,,,,,
Is the scenario unsupported by the current solution?,NotApplicable,,,,,,,,
Does the customer have any other technical concerns related to the issue?,NotApplicable,,,,,,,,
"Does the customer have questions about infrastructure-level DDoS protection, specifically regarding VM throughput?",Agent:DDoSAdvisory,,Functionality,,,,,,
The customer had questions related to the protection plan of the service in question.,NotApplicable,,,,,,,,
The support engineer asked the customer to share details regarding their subscription issue.,NotApplicable,,,,,,,,
The engineer inquired about the customer's working hours to coordinate assistance.,NotApplicable,,,,,,,,
The customer was requested to provide access to their subscription to allow further backend checks.,NotApplicable,,,,,,,,
The engineer confirmed with the customer whether the subscription access had been shared and if the attack notification had been mitigated.,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
What reason is preventing case progression?,NotApplicable,,,,,,,,
"Taking into consideration the ML-provided risk factors and your CARE behavior evaluation, do you agree this case is at risk from the customer’s perspective?",NotApplicable,,,,,,,,
"For the assigned network plan, do the Pseudo VIPs assigned to the customer's resources have their own DDoS threshold values, or are they affected by the threshold configured for the overall plan?",Agent:DDoSAdvisory,,Thresholds,,,,,,
"Why is there a difference in DDoS threshold limits across different IPs, such as 100K, 20K, and 10K packets per second for some, and 300K, 20K, and 30K for others?",Agent:DDoSAdvisory,,Thresholds,,,,,,
"Is it possible to temporarily increase the DDoS threshold values during specific deployment windows (e.g., certain days and times of the week), since the DDoS triggers consistently align with the deployment schedule?",Agent:DDoSAdvisory,,Thresholds,,,,,,
"If the thresholds are increased to higher values, what happens if a future deployment causes a different IP to breach the new threshold?",Agent:DDoSAdvisory,,Thresholds,,,,,,
"Why are private IP resources getting assigned Pseudo VIPs during pipeline deployments, when they should be communicating privately?",NotApplicable,,,,,,,,
"Can the customer forward traffic to their firewall and use the firewall's public IP as the source of traffic to have a fixed public IP, allowing them to raise DDoS thresholds?",Agent:DDoSAdvisory,,Firewall,,,,,,
Is the firewall capable of handling all the traffic volume during deployments without risk of throttling or other issues?,Agent:DDoSAdvisory,,Firewall,,,,,,
Why is traffic during deployments consuming bandwidth on only one public IP while other IPs show zero traffic?,NotApplicable,,,,,,,,
How can the customer get information about the traffic values during deployment activities?,Agent:DDoSAdvisory,,Thresholds,,,,,,
What is the best way to have static IPs for outbound connectivity when the policy does not allow assigning static public IPs to the customer's resources?,Agent:DDoSAdvisory,,Firewall,,,,,,
What are the capabilities and limitations of the firewall in handling the amount of traffic raised during deployments?,Agent:DDoSAdvisory,,Firewall,,,,,,
How can the customer use flow logs and queries to identify which public IPs their resources are communicating with during deployments?,Agent:DDoSAdvisory,,LogAndAttackAnalytics,,,,,,
"Why is the DDoS policy unable to be unlinked from the virtual network, with no apparent effect?",Agent:DDoSAdvisory,Tool:ResourceState,CRUD,,,,,,
How does the Azure policy requiring VNets to have DDoS protection impact the ability to delete or disable the DDoS plan?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,,,,,,
What is the behavior of the EnableStandardDdosProtection setting when attempting to change it to False for the associated virtual network?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,,,,,,
What steps are necessary to fully remove the DDoS protection plan to stop incurring charges?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,,,,,,
How does the policy's modify-type design affect requests to unlink or disable the DDoS protection?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,,,,,,
Could you please confirm whether any DDoS mitigation or throttling events occurred during the specified time windows when packet loss was observed?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"Do you have any DDoS protection plan in place, and has it impacted connectivity or packet loss to any virtual machines or other resources hosted in your subscription?",Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Could you describe how exactly you have observed traffic?,NotApplicable,,,,,,,,
Could you provide a few specific public IP addresses instead of an address space range to help identify the source of traffic?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Could you describe how exactly you have observed traffic drops during the periods of high packet loss?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"Could you provide details on whether the traffic spikes are linked to any specific IP addresses, and if so, which ones?",Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The customer asked questions regarding monitoring and limitations for the DDoS protection service.,Agent:DDoSAdvisory,,Functionality,,,,,,
"The customer inquired whether the current attack is originating from the same source as previous attacks, specifically referencing the source IP starting with ""147.""",Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"The customer requested confirmation of the current thresholds configured for their DDoS protection plan, including specific trigger values for TCPSYN, TCP, and UDP traffic.",Agent:DDoSAdvisory,,Thresholds,,,,,,
Is the issue currently causing a critical production business service outage?,Agent:DDoSIncident,,,Outage impact,,,,,
Is the issue critical enough to stop scheduled deployment?,NotApplicable,,,,,,,,
"If unresolved, does the issue have the potential to cause a critical product business service outage?",NotApplicable,,,,,,,,
The customer asked whether DDoS protection was enabled for their public IPs.,Agent:DDoSAdvisory,Tool:ResourceState,,,,,,,
"The customer inquired if they had received any DDoS attack alerts on their end, since no attacks were recorded on the backend.",Agent:DDoSAdvisory,Tool:AttackDetection,Notifications,,,,,,
The customer asked whether DDoS logs would be stored in a single container or multiple containers within the storage account.,Agent:DDoSAdvisory,Tool:AttackDetection,Metrics,,,,,,
"The customer inquired about options to reduce the cost of using the DDoS protection service, specifically asking if there are alternatives to paying the current fee.",Agent:DDoSAdvisory,,Billing,,,,,,
"The customer questioned whether it is necessary to enable DDoS protection at the virtual network (VNet) level, given that all public endpoints are accessed through certain services like API Management and Application Gateway.",Agent:DDoSAdvisory,,ResourceCoverage,,,,,,
Could you please confirm the public IP addresses where you are receiving DDoS alerts?,Agent:DDoSAdvisory,Tool:AttackDetection,Notifications,,,,,,
Why are you getting DDoS alerts if you haven't configured them?,Agent:DDoSAdvisory,Tool:AttackDetection,Notifications,,,,,,
Can we whitelist certain IP addresses so that no alerts would be triggered for traffic coming from those IPs?,Agent:DDoSAdvisory,,WhitelistBlacklist,,,,,,
"What are the cost savings for the current setup, and how do the different DDoS protection tiers compare in terms of cost?",Agent:DDoSAdvisory,,Billing,,,,,,
Can the customer select multiple resources simultaneously for DDoS telemetry viewing?,Agent:DDoSAdvisory,,Metrics,,,,,,
"How can the customer view DDoS telemetry for protected public IP addresses through various resource types such as protection plans, virtual networks, and public IP addresses?",Agent:DDoSAdvisory,,LogAndAttackAnalytics,,,,,,
What tools or dashboards can be used to visualize and combine different kinds of DDoS-related data effectively?,Agent:DDoSAdvisory,,LogAndAttackAnalytics,,,,,,
"Is integration possible with external analytics or monitoring tools like Splunk, OMS Log Analytics, or storage solutions for advanced DDoS data analysis?",Agent:DDoSAdvisory,,LogAndAttackAnalytics,,,,,,
How can the customer address errors encountered on dashboards related to specific parameters such as IPAddress?,NotApplicable,,,,,,,,
What solutions or best practices can improve overall DDoS visibility for all public IP addresses?,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,,,,,,
"The customer asked for confirmation about a protection feature seen in activity logs, specifically questioning what the log entry indicating a protection status for their public IP address means and stating they do not want this feature enabled.",Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,,,,,,
"The customer inquired if the Azure DDoS IP Protection feature is enabled, expressing a desire to ensure it is not active.",Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,,,,,,
The customer sought confirmation that they did not sign up for the protection feature seen in the logs and reiterated they do not want this protection enabled at all.,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,,,,,,
The support engineer sought to verify with the customer that the protection feature observed in the logs corresponds to the Azure DDoS IP Protection service and clarified the feature’s purpose through documentation.,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,,,,,,
The support engineer checked the customer’s resources to confirm whether the protection feature is enabled on the public IP address in question.,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,,,,,,
Is there any issue with the communication status on the host OS (HyperV) for the NIC recognized by Hyper-V and the physical NIC?,NotApplicable,,,,,,,,
Is there any problem with the vNIC assigned to the guest OS or the driver on the physical NIC side?,NotApplicable,,,,,,,,
"When a specific VM generates communication up to the bandwidth limit set per instance, is the virtual network (including physical switches) between the VM's physical server and the firewall designed to avoid communication congestion?",Agent:DDoSAdvisory,,Functionality,,,,,,
Is it possible to confirm that such congestion has not occurred?,Agent:DDoSAdvisory,,Functionality,,,,,,
"Regarding VM and vNIC specifications, is it correct to understand that a certain amount of packet loss occurs (and is tolerated) as part of the specification?",NotApplicable,,,,,,,,
Has the customer observed any DDoS protection activity in their environment?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Does the customer have any specific IP addresses they want to check?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Has the customer conducted any DDoS protection simulation testing with approved partners as per the provided tutorial?,Agent:DDoSAdvisory,,AttackSimulation,,,,,,
Are there any particular firewall instances or configurations the customer wants to review?,NotApplicable,,,,,,,,
Can the customer confirm if they have experienced any DDoS attacks recently?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
What are the source IP addresses for the latest DDoS attack they experienced?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Why is their network protection setup not blocking the DDoS attack despite being configured to block Internet traffic?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Is there a way to suppress alerts for traffic coming from specific source IP addresses within their protection system?,Agent:DDoSAdvisory,,WhitelistBlacklist,,,,,,
"Can they specify their on-premises or cloud public IPs as trusted IPs, possibly through a suppression rule in their security tools?",Agent:DDoSAdvisory,,WhitelistBlacklist,,,,,,
What are the source IP and port details for specific attack timestamps?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Is it possible to increase the alert threshold for specific source IPs without affecting the entire monitored IP range?,Agent:DDoSAdvisory,,Thresholds,,,,,,
Can the alert suppression be applied to particular source IP addresses rather than the entire public IP address?,Agent:DDoSAdvisory,,WhitelistBlacklist,,,,,,
Why are alerts still being generated even after setting suppression rules in their security defender tool?,NotApplicable,,,,,,,,
Is there a method to block or suppress alerts for particular IPs from the backend system?,Agent:DDoSAdvisory,,WhitelistBlacklist,,,,,,
How can they internally adjust routing or configurations so that on-premises IP addresses do not trigger alerts from their public IP protection?,Agent:DDoSAdvisory,,WhitelistBlacklist,,,,,,
The customer asked about how their current protection plan is being used and whether it is necessary given they already have a primary firewall in place.,Agent:DDoSAdvisory,,ResourceCoverage,,,,,,
The customer asked if they should continue manually blocking malicious IP addresses.,NotApplicable,,,,,,,,
Why are they still consistently receiving DDoS alerts for their public IP despite implementing a DDoS Network Protection Plan about a month ago?,Agent:DDoSAdvisory,Tool:AttackDetection,Notifications,,,,,,
Are these DDoS alerts false positives?,Agent:DDoSAdvisory,Tool:AttackDetection,Notifications,,,,,,
Should the threshold for alerts be increased to reduce the frequency of alerts?,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
How can the DDoS alerts be properly tuned or eliminated?,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
What are the recommended steps moving forward to address the frequent DDoS alerts?,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
Why is the DDoS plan associated with the public IP but alerts keep triggering frequently?,Agent:DDoSAdvisory,Tool:AttackDetection,Notifications,,,,,,
Is there something that needs to be done to tune the DDoS protection settings?,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
What is causing the frequent alerts—could it be outbound flows triggering the alerts?,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
What is the significance of the source port 443 in the alerts—does it indicate return traffic from destination to source?,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
"What is the role of the IP addresses frequently appearing in alerts, and what activity might be causing this?",Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
Would using a NAT Gateway with multiple IP addresses help distribute flows and reduce alerts?,Agent:DDoSAdvisory,Tool:AttackProfiling,Functionality,,,,,,
"Can the threshold for DDoS triggers be adjusted, and what values would be appropriate?",Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
How can the customer identify the top talkers or source IPs interacting with their public IP?,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
How to enable and analyze DDoS protection diagnostic logs effectively?,Agent:DDoSAdvisory,Tool:AttackProfiling,LogAndAttackAnalytics,,,,,,
"Given that packet counts are within current limits, why are alerts still being triggered?",Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
Could raising the UDP threshold help reduce false alerts?,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
"What is the difference between the SYN trigger and other DDoS triggers, and how do adjustments affect alerting?",Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
Why do the customer's metrics differ from the logs on the support side?,Agent:DDoSAdvisory,Tool:AttackProfiling,,,,,,,
"After increasing thresholds, why are mitigation alerts still occurring?",Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
Should the customer consider raising the DDoS trigger threshold to around 120K and the SYN trigger threshold to a higher value?,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
How can charts and diagrams be adjusted to better visualize mitigation status and thresholds?,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
"What are the impacts of adjusting the SYN trigger threshold, and is it necessary?",Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
How to confirm that alerts received correspond to actual mitigations?,Agent:DDoSAdvisory,Tool:AttackDetection,Notifications,,,,,,
What further steps can be taken if alerts persist despite threshold increases?,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
The support engineer asked the customer to check the identified IP addresses on their end to verify the source of the traffic causing the DDoS alert and mitigation.,Agent:DDoSAdvisory,Tool:AttackProfiling,,,,,,,
The customer inquired internally about increasing the TCP threshold limit to accommodate the traffic volume.,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
The support engineer followed up regarding the customer's decision or confirmation on adjusting the TCP threshold limit.,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
Is the customer being billed for both the IP protection plan and the Network Protection Plan under the DDoS protection service?,Agent:DDoSAdvisory,,Billing,,,,,,
Why is the billing still occurring for the Network Protection Plan despite the customer having disassociated the virtual network from it on the specified date?,Agent:DDoSAdvisory,,Billing,,,,,,
Has the customer confirmed that no resources are currently associated with the Network Protection Plan?,Agent:DDoSAdvisory,Tool:ResourceState,Billing,,,,,,
"Has the customer deleted the Network Protection Plan, and if so, from what date is the billing no longer occurring?",Agent:DDoSAdvisory,Tool:ResourceState,Billing,,,,,,
Why did the operation on the Application Gateway take an extended period (around 20 minutes) to complete during the DDoS mitigation?,NotApplicable,,,,,,,,
"What caused the frequent DDoS attacks on the public IP, especially considering the customer's practice of rolling back configurations after each attack?",Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Can the customer provide details or clarification regarding the traffic drops observed on the internal dashboard related to the DDoS event?,Agent:DDoSAdvisory,Tool:AttackProfiling,LogAndAttackAnalytics,,,,,,
"Are there options available for proactive detection and blocking of traffic anomalies, such as enrollment in private previews or use of rate limiting features?",Agent:DDoSAdvisory,,Functionality,,,,,,
What is the threshold at which the DDoS protection starts blocking requests?,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
"If two hostnames resolve to the same public IP address, and one hostname is targeted by a DDoS attack, will the attack impact both hostnames or only the targeted one?",Agent:DDoSAdvisory,,Functionality,,,,,,
Is any separate storage required to forward logs and configure alerts for the Application Gateway and Web Application Firewall (WAF) associated with the DDoS protection plan?,Agent:DDoSAdvisory,,LogAndAttackAnalytics,,,,,,
The customer inquired about the DDoS threshold settings for a specific virtual IP on their virtual machine.,Agent:DDoSAdvisory,Tool:DetectionTuning,Thresholds,,,,,,
The support engineer sought clarification on what the firewall team needs to check regarding the DDoS protection.,NotApplicable,,,,,,,,
"The customer’s team asked for confirmation on whether the DDoS protection was functioning correctly, particularly concerning UDP-triggered traffic.",Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,,,,,,
The support engineer shared findings about the DDoS protection working as expected and asked if there were any further technical questions related to the protection status.,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,,,,,,
"Request for the customer to check logs related to traffic on the app gateway, specifically to verify the presence of TCP traffic.",NotApplicable,,,,,,,,
"Inquiry about details of packets observed in the traffic, particularly regarding certain protocols and whether they are being detected or mitigated.",Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
"Clarification on the nature and timing of the detected attack, including confirmation of attack duration and mitigation start time.",Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
"Questions regarding the behavior of mitigation measures, such as whether blocking IP addresses at certain layers affects alert suppression.",Agent:DDoSAdvisory,,Functionality,,,,,,
Follow-up on additional technical details being investigated by the product group to understand the attack and mitigation impact better.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The customer inquired about how to convert the DDoS protection from network level to IP level only.,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,,,,,,
The customer questioned why they were unable to remove the existing DDoS protection plan despite confirmation of successful deletion of the associated VNet.,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,,,,,,
"The customer reported encountering an error related to the resource group when attempting to update via Azure CLI, implicitly questioning the cause or solution for this error.",NotApplicable,,,,,,,,
What specific parameters does the customer need to configure for the DDoS protection on their VM server hosted on the cloud platform?,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,,,,,,
What are the average Transactions Per Second (TPS) and the percentage increase in TPS by source IP and by user?,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
What is the maximum TPS the server can handle?,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,,,,,,
"How can the customer interpret the VM metrics, such as Network In/Out graphs, to estimate traffic patterns?",NotApplicable,,,,,,,,
"What are the relevant parameters related to duration, escalation, and de-escalation periods for the third-party DDoS solution?",NotApplicable,,,,,,,,
The customer inquired about which pricing plan the DDoS protection is applied to.,Agent:DDoSAdvisory,Tool:ResourceState,Billing,,,,,,
It was raised whether DDoS IP protection being enabled for specific public IP addresses while DDoS network protection for a particular virtual network is not enabled is intentional or unexpected.,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,,,,,,
Which IPs triggered the DDoS alert?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Why did an IP owned by the service provider appear in the customer's logs?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Clarification on how to perform DDoS simulation testing in the cloud environment using approved testing partners.,Agent:DDoSAdvisory,,AttackSimulation,,,,,,
Understanding the requirement for global admin approval to validate ownership of IP addresses involved in DDoS testing.,Agent:DDoSAdvisory,,AttackSimulation,,,,,,
Inquiry about the use of custom C# code to simulate DDoS attacks instead of recommended testing partners.,Agent:DDoSAdvisory,,AttackSimulation,,,,,,
"Explanation of the difference between ""Total"" and ""Count"" in the results of the diagnostic logs with 41 columns.",NotApplicable,,,,,,,,
Request for assistance or internal check to find a team that can review the customer's custom C# code.,NotApplicable,,,,,,,,
Help with setting up or reviewing alerts related to potential DDoS attacks.,Agent:DDoSAdvisory,Tool:AttackDetection,Notifications,,,,,,
Whether the platform’s tools can be used for simulating DDoS attacks or if alternative load testing or fault injection methods are recommended.,Agent:DDoSAdvisory,,AttackSimulation,,,,,,
"If a Public IP address upgrade is performed while the Load Balancer remains, will the DDoS Protection still apply?",Agent:DDoSAdvisory,,ResourceCoverage,,,,,,
"Where does the DDoS Protection apply? Is it on the server, the Load Balancer, or the region?",Agent:DDoSAdvisory,,Functionality,,,,,,
The customer wishes to use DDoS Protection on the web server; is it sufficient if it can be applied at the server level?,Agent:DDoSAdvisory,,ResourceCoverage,,,,,,
"Regarding IP protection, is it correct to understand that it will be effective on the Load Balancer or server IP addresses?",Agent:DDoSAdvisory,,ResourceCoverage,,,,,,
The customer asked for confirmation regarding the top talkers involved in the detected DDoS attack.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The customer inquired about why the DDoS mitigation was triggered despite the traffic being below the usual threshold.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The customer asked the internal team to identify if the traffic observed was legitimate.,NotApplicable,,,,,,,,
The customer inquired about how to monitor traffic within their virtual machine without impacting performance.,NotApplicable,,,,,,,,
The support team asked the customer for more information regarding the observed burst of packets.,NotApplicable,,,,,,,,
The support team requested the customer to provide feedback and answer scope-related questions about the network traffic issue.,NotApplicable,,,,,,,,
The customer confirmed whether they had any monitoring tools running on the virtual machine as recommended.,NotApplicable,,,,,,,,
The customer asked about the results or findings related to the traffic investigation.,NotApplicable,,,,,,,,
The support team explained the need to run network traces using specific commands to identify the process generating increased packet rates and discussed the duration required for such traces.,NotApplicable,,,,,,,,
Whether the specified IPs were being throttled by a Distributed Denial of Service (DDoS) attack.,Agent:DDoSAdvisory,Tool:AttackDetection,,,,,,,
Requests for resource information or references to previous case numbers related to the issue.,NotApplicable,,,,,,,,
"Clarification on whether the UDP traffic throttling was caused by Azure or another component, such as the NAT Gateway.",Agent:DDoSAdvisory,Tool:AttackDetection,,,,,,,
Confirmation if the reported IP addresses and names involved in the incidents can be found or verified.,Agent:DDoSAdvisory,Tool:AttackDetection,,,,,,,
Inquiries about the customer's environment and specific configurations related to the Network Address Translation Gateway and virtual networks.,NotApplicable,,,,,,,,
Questions about the customer's need for policy application based on organization identifiers rather than IP prefixes.,NotApplicable,,,,,,,,
Requests for confirmation from the customer on whether the provided explanations and solutions address the issue.,NotApplicable,,,,,,,,
Clarification on whether the customer has additional technical questions or if the issue can be considered resolved.,NotApplicable,,,,,,,,
The customer inquired about the source IP addresses involved in the reported attack.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The customer asked which threshold values are triggering the DDoS mitigation.,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
The customer requested information on the total number of SYN packets recorded that triggered the mitigation.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The customer requested adjustments to the trigger thresholds for specific types of packets related to the attack.,Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
What actions have been taken in response to the DDoS alert?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
How can this DDoS attack affect the customer's architecture?,Agent:DDoSAdvisory,,Functionality,,,,,,
Which mitigation measures have been implemented for the attack?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Can you provide more details about the DDoS alerts and the attack surface?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Why were these alerts triggered?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
"Is any further action needed, or is the subscription still under attack?",Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
What are the recommended steps to configure alerts and logs in the protection system?,Agent:DDoSAdvisory,,LogAndAttackAnalytics,,,,,,
Clarification on which specific resource the customer is attempting to access within their environment.,NotApplicable,,,,,,,,
Requests for the customer to engage team members who have the necessary permissions to perform network traffic captures on relevant systems.,NotApplicable,,,,,,,,
Inquiry into whether there is any indication from system components that virtual machines are rejecting incoming requests.,NotApplicable,,,,,,,,
Questions regarding the configuration of the customer's application to ensure it is set up correctly in collaboration with other teams.,NotApplicable,,,,,,,,
"Is it possible to disable the DDoS protection on the specified virtual network using command-line interface commands, since the portal method fails?",Agent:DDoSAdvisory,,ProvisioningConfiguration,,,,,,
"Could there be a policy that is preventing the DDoS protection from being disabled, even though no error messages are shown?",Agent:DDoSAdvisory,Tool:ResourceState,CRUD,,,,,,
"Are the policies assigned at the management group scope, and does the customer have the necessary permissions at that scope to create an exemption?",NotApplicable,,,,,,,,
Can an exemption or exclusion be created to prevent the policy from re-applying the DDoS protection plan?,Agent:DDoSAdvisory,,ProvisioningConfiguration,,,,,,
Is it feasible to collaborate with the person who has permissions at the management group level to create the exemption?,NotApplicable,,,,,,,,
"After creating the exemption, does the customer confirm that they are able to disable the DDoS protection and delete the plan as expected?",Agent:DDoSAdvisory,Tool:ResourceState,CRUD,,,,,,
Can you provide more details about the drop in network traffic observed on all Azure resources within the traffic path?,Agent:DDoSAdvisory,Tool:AttackDetection,,,,,,,
Have you noticed any specific timestamps or patterns when the packet drops occur?,Agent:DDoSAdvisory,Tool:AttackDetection,,,,,,,
"Is the frontend load balancer reachable from the internet, or is access limited to specific sources such as Akamai?",NotApplicable,,,,,,,,
What is the current health status of the load balancer and its backend resources?,NotApplicable,,,,,,,,
Has there been any DDoS mitigation activity detected on the public IP address during the reported issue timeframe?,Agent:DDoSAdvisory,Tool:AttackDetection,,,,,,,
"Is the backend configured to accept traffic only from a specific network or service, such as the DDoS protection service?",Agent:DDoSAdvisory,,AppGWandWAF,,,,,,
"Can you confirm if the traffic path includes components like CDN, load balancer, application gateway, and API management as indicated?",NotApplicable,,,,,,,,
Have you coordinated with your DDoS protection service provider to check for any anomalies or attacks on their end?,Agent:DDoSAdvisory,Tool:AttackDetection,,,,,,,
Why was the DDoS attack not mitigated despite having the standard public IP enabled with the protection plan?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Can the customer share the requested metric details on the public IP along with the specified filter?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"Is the Basic SKU still available, or has it been renamed or replaced?",Agent:DDoSAdvisory,,BasicVsStandard,,,,,,
When did the DDoS attack start?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Have you noticed any specific patterns or times when the attack intensifies?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Are there any services or applications that are being targeted?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Have you already implemented any DDoS protection measures on your resources?,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,,,,,,
